Gene ID	Gene Name	poly(A)+ Half-life	Total Half-life	Lower limit	Upper limit
YMR289W	ABZ2	2.3	4.9	4.2	6.8
YMR290C	HAS1	2.3	6.4	5.8	8.0
YMR291W	TDA1	3.7	5.3	4.5	10.1
YMR292W	GOT1	2.5	7.0	5.9	9.8
YMR295C		3.8	11.3	8.5	15.8
YMR296C	LCB1	2.5	6.3	5.6	8.2
YMR297W	PRC1	12.2	53.9	34.0	166.0
YMR298W	LIP1	7.4	35.2	20.9	56.1
YMR300C	ADE4	1.2	2.7	2.6	4.2
YMR302C	YME2	4.9	11.6	7.8	24.9
YMR305C	SCW10	1.9	4.5	3.9	5.9
YMR306W	FKS3	8.1	14.4	10.3	22.5
YMR307W	GAS1	2.2	8.2	7.3	10.5
YMR308C	PSE1	2.4	17.4	10.0	37.9
YMR311C	GLC8	4.4	8.3	6.9	13.3
YMR312W	ELP6	2.6	8.6	6.9	12.5
YMR313C	TGL3	2.4	3.7	3.2	5.5
YMR314W	PRE5	7.9	14.5	12.5	17.9
YMR315W		4.7	7.7	6.4	12.2
YMR316W	DIA1	2.5	4.4	3.8	6.2
YMR318C	ADH6	4.3	18.7	15.4	21.9
YMR319C	FET4	4.0	9.2	6.2	18.3
YNL001W	DOM34	1.8	3.5	3.3	4.8
YNL002C	RLP7	2.1	3.0	2.9	3.7
YNL003C	PET8	2.4	4.7	4.1	6.8
YNL004W	HRB1	2.8	5.4	5.0	7.6
YNL005C	MRP7	4.3	9.3	7.1	13.3
YNL012W	SPO1	17.4	39.5	25.2	91.3
YNL014W	HEF3	4.3	7.7	5.1	13.5
YNL015W	PBI2	12.9	15.7	11.0	22.1
YNL016W	PUB1	2.4	39.3	30.3	55.6
YNL020C	ARK1	1.9	5.2	4.6	8.0
YNL021W	HDA1	1.3	6.3	5.3	10.9
YNL022C	RCM1	1.8	3.3	3.1	4.4
YNL023C	FAP1	4.0	16.1	10.0	23.6
YNL024C-A	KSH1	4.3	17.9	10.2	32.7
YNL026W	SAM50	4.0	7.3	5.7	11.8
YNL027W	CRZ1	4.0	5.5	4.8	9.5
YNL029C	KTR5	4.3	12.5	8.8	22.0
YNL030W	HHF2	1.3	2.7	2.5	3.7
YNL031C	HHT2	2.3	5.3	4.7	6.8
YNL032W	SIW14	2.6	4.7	4.1	7.7
YNL035C		3.1	12.5	10.5	15.0
YNL036W	NCE103	4.0	11.0	8.1	15.9
YNL037C	IDH1	2.4	5.5	4.8	8.0
YNL038W	GPI15	2.2	4.5	3.9	6.7
YNL039W	BDP1	8.1	16.8	10.2	27.1
YNL042W	BOP3	3.7	5.7	4.9	10.4
YNL044W	YIP3	3.7	7.7	6.6	11.3
YNL047C	SLM2	4.0	6.4	4.7	10.3
YNL048W	ALG11	2.4	6.7	5.3	11.5
YNL049C	SFB2	2.7	8.8	5.7	16.0
YNL051W	COG5	2.5	4.4	3.7	6.9
YNL052W	COX5A	4.5	10.0	7.2	16.6
YNL053W	MSG5	1.2	1.7	1.7	3.3
YNL056W	OCA2	4.3	9.5	6.9	15.8
YNL061W	NOP2	2.1	5.2	4.8	6.7
YNL062C	GCD10	3.6	5.0	4.4	8.1
YNL066W	SUN4	1.9	3.8	3.5	5.5
YNL067W	RPL9B	2.4	5.5	4.6	7.5
YNL068C	FKH2	2.0	5.5	4.7	8.1
YNL069C	RPL16B	3.7	25.3	21.0	31.2
YNL072W	RNH201	5.9	9.9	8.1	14.4
YNL073W	MSK1	3.6	7.0	5.6	11.4
YNL074C	MLF3	5.3	14.4	10.0	23.8
YNL075W	IMP4	2.6	4.4	3.7	8.4
YNL076W	MKS1	8.0	22.8	13.2	38.5
YNL079C	TPM1	8.0	30.8	21.9	50.9
YNL080C	EOS1	2.6	3.8	3.4	5.9
YNL081C	SWS2	4.0	5.3	4.5	8.3
YNL082W	PMS1	2.2	6.2	5.2	9.9
YNL083W	SAL1	11.1	23.7	11.9	40.6
YNL084C	END3	8.8	15.9	12.8	20.3
YNL086W	SNN1	3.5	6.4	5.2	9.1
YNL087W	TCB2	2.4	5.7	5.1	7.5
YNL088W	TOP2	5.1	41.5	27.3	60.9
YNL090W	RHO2	4.2	15.7	8.2	25.7
YNL091W	NST1	11.1	25.0	14.8	42.6
YNL094W	APP1	3.8	5.2	4.3	10.6
YNL096C	RPS7B	2.0	4.7	4.2	5.9
YNL097C	PHO23	5.0	8.0	6.8	11.1
YNL098C	RAS2	5.0	10.4	7.5	15.7
YNL099C	OCA1	4.3	5.5	4.9	9.5
YNL100W	AIM37	6.1	10.0	7.7	16.4
YNL101W	AVT4	4.6	11.0	7.0	17.6
YNL102W	POL1	3.8	22.6	18.3	28.1
YNL103W	MET4	2.8	5.0	3.8	9.5
YNL104C	LEU4	4.3	17.1	13.9	21.9
YNL107W	YAF9	2.4	6.0	5.1	9.7
YNL110C	NOP15	1.7	3.0	2.8	3.7
YNL111C	CYB5	1.4	2.1	2.0	2.9
YNL112W	DBP2	2.1	5.4	4.8	9.2
YNL113W	RPC19	1.7	2.8	2.3	4.0
YNL116W	DMA2	13.2	28.9	17.2	52.6
YNL121C	TOM70	3.9	11.3	7.9	19.6
YNL123W	NMA111	3.6	52.2	28.5	97.3
YNL129W	NRK1	4.0	6.1	4.5	10.1
YNL130C	CPT1	8.2	28.8	20.5	39.1
YNL131W	TOM22	4.3	9.9	8.2	14.5
YNL132W	KRE33	1.7	11.6	8.8	18.3
YNL133C	FYV6	3.8	4.6	3.8	6.4
YNL134C		8.2	32.2	24.6	49.8
YNL138W	SRV2	7.0	55.6	41.8	81.4
YNL138W-A	YSF3	3.4	7.6	5.9	10.5
YNL139C	THO2	4.9	14.7	9.2	28.1
YNL141W	AAH1	4.1	4.7	3.7	8.9
YNL142W	MEP2	2.4	4.6	3.8	9.1
YNL147W	LSM7	3.4	5.5	4.9	7.3
YNL148C	ALF1	3.3	4.7	4.4	6.3
YNL149C	PGA2	4.1	11.1	9.4	14.6
YNL151C	RPC31	1.8	3.1	2.8	4.4
YNL152W	INN1	4.8	6.3	4.7	12.3
YNL153C	GIM3	2.1	3.7	3.6	4.9
YNL154C	YCK2	3.9	6.6	5.4	11.3
YNL155W	CUZ1	11.3	10.6	7.9	17.5
YNL156C	NSG2	4.9	7.2	5.7	13.7
YNL162W	RPL42A	4.2	22.0	16.1	31.1
YNL163C	RIA1	2.6	14.2	8.8	26.3
YNL164C	IBD2	1.0	1.6	1.6	2.4
YNL166C	BNI5	3.4	9.0	7.2	13.7
YNL167C	SKO1	11.4	22.4	14.4	40.6
YNL169C	PSD1	2.5	3.9	3.6	5.3
YNL172W	APC1	3.4	6.8	5.4	11.0
YNL173C	MDG1	9.7	15.9	12.0	22.1
YNL175C	NOP13	2.1	4.0	3.5	5.1
YNL177C	MRPL22	4.2	5.5	4.7	8.6
YNL178W	RPS3	4.4	18.2	15.5	21.6
YNL180C	RHO5	3.7	5.2	4.4	7.6
YNL182C	IPI3	1.2	2.0	1.9	2.5
YNL183C	NPR1	3.7	4.7	4.0	8.0
YNL185C	MRPL19	4.2	4.5	3.7	7.8
YNL186W	UBP10	1.3	2.9	2.7	3.8
YNL187W	SWT21	3.6	5.6	4.1	10.4
YNL188W	KAR1	0.9	2.0	2.0	3.3
YNL189W	SRP1	9.2	58.9	38.4	108.8
YNL190W		3.6	15.6	10.2	27.2
YNL192W	CHS1	2.3	5.5	4.5	9.9
YNL197C	WHI3	7.3	13.8	7.2	23.5
YNL199C	GCR2	2.3	4.3	3.7	6.9
YNL200C		10.2	25.3	17.7	40.9
YNL201C	PSY2	1.8	5.0	4.4	7.3
YNL202W	SPS19	5.3	15.4	10.7	22.4
YNL206C	RTT106	2.4	4.9	4.5	6.9
YNL207W	RIO2	2.3	4.9	4.5	6.6
YNL208W		9.4	42.5	27.7	93.1
YNL209W	SSB2	2.8	35.2	24.4	50.6
YNL210W	MER1	2.6	1.9	1.9	3.1
YNL212W	VID27	4.2	6.5	5.4	11.6
YNL213C	RRG9	3.9	3.6	3.4	6.2
YNL214W	PEX17	6.2	9.5	6.6	17.2
YNL216W	RAP1	2.2	13.2	8.4	25.4
YNL218W	MGS1	1.2	2.6	2.6	3.8
YNL219C	ALG9	3.4	4.6	4.1	6.4
YNL220W	ADE12	2.8	8.7	6.9	13.0
YNL221C	POP1	1.8	3.6	3.1	6.7
YNL222W	SSU72	6.3	8.5	5.9	14.4
YNL223W	ATG4	4.8	8.8	6.7	14.1
YNL224C	SQS1	3.5	6.9	5.3	12.3
YNL225C	CNM67	2.5	4.0	3.4	8.2
YNL227C	JJJ1	3.1	4.1	3.3	6.8
YNL229C	URE2	2.8	5.0	4.4	7.1
YNL230C	ELA1	6.5	11.5	7.1	21.8
YNL231C	PDR16	2.3	3.9	3.7	5.1
YNL232W	CSL4	2.2	4.2	3.5	6.4
YNL233W	BNI4	6.2	11.9	7.2	19.9
YNL234W		5.4	13.8	9.5	22.7
YNL238W	KEX2	4.9	9.9	6.5	22.3
YNL240C	NAR1	4.3	6.9	6.3	8.8
YNL241C	ZWF1	3.3	8.2	6.7	11.9
YNL243W	SLA2	5.0	37.8	27.9	58.2
YNL244C	SUI1	4.5	14.5	10.7	17.7
YNL245C	CWC25	2.4	6.9	5.8	10.5
YNL246W	VPS75	3.7	8.5	7.5	11.4
YNL247W		4.2	48.2	32.3	86.3
YNL248C	RPA49	1.8	4.5	4.2	5.6
YNL250W	RAD50	6.5	29.1	20.7	40.1
YNL252C	MRPL17	3.7	4.1	3.8	6.8
YNL253W	TEX1	1.3	2.3	2.2	3.2
YNL254C	RTC4	2.1	3.2	2.8	5.4
YNL255C	GIS2	2.4	5.2	4.6	7.6
YNL256W	FOL1	1.6	3.7	3.2	5.7
YNL257C	SIP3	4.9	10.1	7.7	19.3
YNL259C	ATX1	3.8	6.1	5.2	9.2
YNL260C	LTO1	5.1	20.0	10.8	35.8
YNL262W	POL2	4.3	17.7	13.7	27.0
YNL263C	YIF1	4.3	10.3	7.3	15.7
YNL264C	PDR17	3.3	5.2	4.6	7.0
YNL265C	IST1	4.2	8.4	6.8	13.5
YNL268W	LYP1	2.6	4.8	4.4	7.0
YNL272C	SEC2	3.6	6.4	5.0	12.7
YNL278W	CAF120	2.1	3.8	3.2	7.4
YNL279W	PRM1	7.1	37.3	18.9	90.5
YNL280C	ERG24	3.6	8.7	7.3	11.7
YNL282W	POP3	3.4	10.6	7.5	15.9
YNL283C	WSC2	3.8	4.3	3.9	6.5
YNL284C	MRPL10	3.9	4.9	4.2	7.6
YNL288W	CAF40	3.5	7.0	5.9	12.5
YNL289W	PCL1	1.0	2.7	2.5	6.2
YNL290W	RFC3	3.9	7.4	6.2	10.9
YNL291C	MID1	3.6	5.3	4.5	9.2
YNL292W	PUS4	1.9	5.0	4.5	6.4
YNL293W	MSB3	3.6	5.2	4.6	8.6
YNL294C	RIM21	4.0	7.0	5.2	14.2
YNL297C	MON2	7.2	37.3	17.7	68.5
YNL299W	TRF5	1.1	1.6	1.7	2.4
YNL301C	RPL18B	3.7	6.3	5.3	8.5
YNL302C	RPS19B	4.4	29.2	24.6	35.0
YNL304W	YPT11	2.6	5.3	4.8	6.5
YNL305C	BXI1	15.1	38.6	19.4	78.6
YNL306W	MRPS18	4.0	6.8	5.4	10.2
YNL307C	MCK1	4.5	7.8	6.3	12.3
YNL308C	KRI1	3.0	4.5	4.0	6.2
YNL310C	ZIM17	3.8	8.1	6.6	11.4
YNL311C	SKP2	1.2	3.4	3.0	5.5
YNL312W	RFA2	3.2	5.5	5.0	8.3
YNL314W	DAL82	2.4	5.3	4.8	8.0
YNL315C	ATP11	2.7	5.3	4.7	7.2
YNL316C	PHA2	3.8	6.2	4.7	10.2
YNL317W	PFS2	2.3	5.1	4.4	7.8
YNL321W	VNX1	4.9	8.6	7.1	12.7
YNL322C	KRE1	7.3	28.3	19.0	38.6
YNL323W	LEM3	3.5	8.4	6.0	14.6
YNL325C	FIG4	1.4	3.9	3.6	5.5
YNL326C	PFA3	2.0	2.7	2.6	4.0
YNL327W	EGT2	1.9	5.2	4.2	7.7
YNL328C	MDJ2	2.3	3.5	3.1	7.1
YNL329C	PEX6	2.6	5.6	4.8	10.2
YNL330C	RPD3	4.2	8.8	7.4	11.8
YNL336W	COS1	5.6	10.5	9.2	13.1
YNR001C	CIT1	4.6	34.8	25.0	49.0
YNR003C	RPC34	3.6	6.9	5.9	9.0
YNR004W	SWM2	3.9	7.4	5.8	11.2
YNR006W	VPS27	4.3	9.3	5.8	17.9
YNR007C	ATG3	5.2	9.0	5.9	13.7
YNR008W	LRO1	3.3	5.7	5.2	7.6
YNR009W	NRM1	4.9	7.5	6.3	11.5
YNR010W	CSE2	15.0	21.3	13.5	35.6
YNR011C	PRP2	2.8	4.7	4.2	7.7
YNR012W	URK1	2.2	5.2	4.3	7.8
YNR013C	PHO91	2.9	9.0	6.6	18.0
YNR015W	SMM1	1.8	3.2	3.0	4.2
YNR016C	ACC1	3.2	28.6	21.1	36.9
YNR017W	TIM23	2.7	3.3	3.1	4.5
YNR018W	RCF2	3.6	9.8	8.5	12.1
YNR020C	ATP23	2.2	3.5	2.3	7.0
YNR022C	MRPL50	2.6	7.6	6.1	9.5
