Gene ID	Gene Name	poly(A)+ Half-life	Total Half-life	Lower limit	Upper limit
YPR065W	ROX1	2.0	3.5	3.1	5.2
YPR066W	UBA3	3.6	2.6	2.5	4.6
YPR067W	ISA2	3.9	4.7	3.9	9.8
YPR070W	MED1	2.3	4.6	4.0	7.8
YPR072W	NOT5	4.3	9.7	6.3	17.1
YPR073C	LTP1	7.5	34.0	21.9	67.1
YPR074C	TKL1	3.4	51.6	37.1	73.3
YPR075C	OPY2	4.9	15.6	10.2	30.2
YPR079W	MRL1	7.8	14.7	10.3	22.3
YPR081C	GRS2	5.2	14.5	9.1	23.6
YPR082C	DIB1	3.1	7.4	6.5	9.0
YPR083W	MDM36	1.2	3.0	2.7	5.4
YPR085C	ASA1	2.6	4.6	3.8	8.3
YPR086W	SUA7	3.8	11.2	8.7	16.6
YPR088C	SRP54	4.7	12.3	9.6	18.1
YPR091C	NVJ2	3.9	25.4	15.1	42.6
YPR093C	ASR1	8.1	23.3	13.1	42.3
YPR094W	RDS3	4.6	11.2	6.9	18.1
YPR095C	SYT1	3.6	4.9	4.3	9.2
YPR097W		3.9	15.7	9.9	27.5
YPR098C		7.1	44.7	25.5	97.7
YPR100W	MRPL51	4.2	8.3	6.4	13.2
YPR102C	RPL11A	3.4	16.2	14.0	19.1
YPR103W	PRE2	4.6	9.7	7.5	14.9
YPR104C	FHL1	2.0	3.7	3.3	5.6
YPR105C	COG4	2.6	5.7	4.9	9.2
YPR106W	ISR1	6.6	9.6	7.0	17.1
YPR107C	YTH1	8.7	19.7	10.8	35.5
YPR108W	RPN7	6.9	20.7	15.2	27.9
YPR110C	RPC40	2.4	6.6	5.7	8.9
YPR111W	DBF20	2.3	4.2	3.5	7.3
YPR112C	MRD1	2.3	12.2	8.8	20.4
YPR113W	PIS1	2.6	7.3	6.4	9.3
YPR115W	RGC1	6.4	38.5	22.6	62.7
YPR116W	RRG8	8.0	6.0	4.1	10.0
YPR118W	MRI1	3.2	10.0	8.0	11.9
YPR119W	CLB2	2.6	1.9	2.0	3.2
YPR120C	CLB5	2.6	3.4	3.2	5.2
YPR121W	THI22	4.4	8.3	5.0	15.1
YPR122W	AXL1	8.1	35.5	19.9	58.0
YPR124W	CTR1	2.5	5.3	4.5	9.9
YPR125W	YLH47	1.2	3.4	3.0	4.8
YPR127W		4.4	11.7	8.9	16.0
YPR128C	ANT1	2.8	6.0	5.6	7.5
YPR129W	SCD6	4.6	6.8	5.9	9.7
YPR131C	NAT3	2.3	4.6	3.9	6.5
YPR132W	RPS23B	4.4	22.5	18.3	28.5
YPR133C	SPN1	4.5	7.1	5.7	13.0
YPR133W-A	TOM5	3.2	9.6	6.9	15.6
YPR134W	MSS18	2.9	3.7	3.2	5.9
YPR135W	CTF4	3.1	25.2	16.7	41.4
YPR137W	RRP9	1.0	2.1	2.0	3.7
YPR138C	MEP3	4.4	5.1	4.1	9.9
YPR139C	LOA1	3.8	6.9	5.9	10.1
YPR140W	TAZ1	4.5	5.0	4.2	7.5
YPR141C	KAR3	2.4	2.7	2.6	4.6
YPR143W	RRP15	1.1	1.8	1.8	2.5
YPR144C	NOC4	1.9	3.6	3.5	4.7
YPR145W	ASN1	1.7	4.4	4.1	6.1
YPR148C		4.6	7.9	6.7	11.6
YPR156C	TPO3	2.0	3.7	3.2	5.6
YPR159W	KRE6	3.6	33.4	24.7	44.8
YPR163C	TIF3	2.4	6.6	5.7	8.5
YPR164W	MMS1	4.4	22.0	12.7	35.4
YPR165W	RHO1	4.7	11.6	9.7	15.5
YPR166C	MRP2	2.3	4.7	4.0	6.3
YPR167C	MET16	3.7	5.8	4.5	10.6
YPR168W	NUT2	5.2	9.1	6.1	15.9
YPR169W	JIP5	3.5	5.4	4.9	8.6
YPR173C	VPS4	7.5	21.2	15.5	28.1
YPR174C		13.6	24.6	17.6	35.5
YPR176C	BET2	2.5	5.2	4.4	10.6
YPR181C	SEC23	6.7	30.5	18.0	56.9
YPR183W	DPM1	4.5	24.1	17.4	30.9
YPR185W	ATG13	8.0	14.5	9.1	26.6
YPR186C	PZF1	1.2	1.4	1.6	2.6
YPR187W	RPO26	1.9	3.7	3.3	5.6
YPR188C	MLC2	4.7	17.2	12.8	23.3
YPR189W	SKI3	3.8	32.3	19.8	57.2
YPR190C	RPC82	1.7	3.5	3.3	4.8
YPR191W	QCR2	4.5	20.8	13.1	30.6
YPR194C	OPT2	2.5	3.6	2.9	6.8
YPR198W	SGE1	3.4	8.1	6.8	11.8
YPR199C	ARR1	3.2	5.4	4.7	6.8
YPR201W	ARR3	4.5	6.7	5.3	11.3
