Gene	Expression	UWCounts	UWFrac
YNL083W	1170.0	242	0.16307277628
YMR238W	2950.0	216	0.156976744186
YER168C	13500.0	265	0.161585365854
YPL265W	432.0	359	0.196604600219
YOR227W	195.0	588	0.157219251337
YOR081C	358.0	329	0.146287238773
YDR021W	3090.0	200	0.166805671393
YPL212C	8130.0	229	0.140146878825
YPR095C	279.0	583	0.158423913043
YOR310C	34700.0	222	0.144625407166
YAL027W	1170.0	129	0.164331210191
YDR017C	1940.0	477	0.15133248731
YIL090W	606.0	307	0.20813559322
YDR016C	799.0	34	0.119718309859
YPR057W	1870.0	128	0.12487804878
YLL032C	922.0	457	0.184497375858
YDR116C	7010.0	126	0.147024504084
YDR122W	279.0	440	0.137758296807
YOL062C	3410.0	217	0.147118644068
YNL234W	195.0	196	0.153125
YDL070W	2930.0	291	0.151878914405
YOR241W	7080.0	244	0.148238153098
YLR056W	36200.0	175	0.159525979945
YMR054W	1080.0	459	0.171781437126
YKL110C	5260.0	138	0.146652497343
YNL255C	96700.0	55	0.119305856833
YML097C	4280.0	220	0.162361623616
YKR007W	2740.0	53	0.0956678700361
YHR193C	38000.0	49	0.0935114503817
YBL099W	41500.0	255	0.15577275504
YGL027C	2840.0	404	0.161535385846
YCL045C	2840.0	394	0.172655565294
YPR115W	300.0	459	0.141187326976
YHR088W	784.0	133	0.149943630214
YBR017C	2130.0	476	0.172714078374
YPR162C	2170.0	286	0.179987413468
YGR166W	1660.0	294	0.174791914388
YJR055W	2730.0	82	0.165991902834
YGL099W	19400.0	291	0.151404786681
YFL030W	339.0	159	0.137424373379
YIL119C	1340.0	218	0.178250204415
YPL193W	259.0	159	0.138864628821
YNL005C	2290.0	190	0.170403587444
YJL144W	149.0	35	0.111464968153
YJR139C	48900.0	188	0.174235403151
YBR133C	1180.0	377	0.151832460733
YBR162C	12300.0	200	0.146305779078
YJL079C	556.0	111	0.123470522803
YGL019W	8120.0	98	0.117224880383
YNL172W	178.0	922	0.175752954632
YPL160W	158000.0	520	0.158924205379
YNL023C	589.0	383	0.132205730066
YDR214W	13900.0	143	0.135931558935
YIL126W	1990.0	626	0.153468987497
YLR295C	6140.0	44	0.117647058824
YHR168W	189.0	206	0.132390745501
YOR064C	861.0	88	0.133535660091
YOR159C	556.0	33	0.116197183099
YOR130C	432.0	148	0.168564920273
YGL148W	2310.0	106	0.0938053097345
YBR282W	2250.0	74	0.168181818182
YDR194C	10300.0	340	0.170511534604
YGR084C	16000.0	152	0.149165848871
YNR030W	3550.0	318	0.192145015106
YIL002C	98.9	513	0.180633802817
YGR159C	77400.0	134	0.107717041801
YLR369W	5550.0	307	0.155600608211
YNL118C	8530.0	419	0.143887362637
YGL228W	8640.0	236	0.136180034622
YJR117W	19600.0	242	0.177810433505
YLR357W	2330.0	367	0.137504683402
YER127W	1430.0	121	0.112767940354
YBL015W	4890.0	190	0.120253164557
YLR017W	4820.0	157	0.154985192498
YBR041W	16900.0	389	0.193628670981
YOR264W	922.0	180	0.139318885449
YBL029C-A	996.0	46	0.161971830986
YGL173C	11700.0	785	0.17117313563
YNL275W	195.0	357	0.206358381503
YAR015W	4280.0	114	0.123913043478
YDR427W	12400.0	228	0.193056731583
YLR079W	768.0	92	0.107728337237
YLR408C	468.0	51	0.138586956522
YMR093W	358.0	246	0.159636599611
YKR066C	6730.0	127	0.117050691244
YDR079W	468.0	61	0.182089552239
YMR268C	672.0	215	0.161169415292
YML070W	23600.0	283	0.161345496009
YPR072W	5110.0	238	0.141498216409
YMR108W	31900.0	285	0.138148327678
YER062C	5000.0	96	0.127659574468
YDR244W	2070.0	251	0.136561479869
YDL137W	25000.0	80	0.146788990826
YGR271W	486.0	1029	0.174318143317
YDR233C	37100.0	138	0.155580608794
YGR071C	1050.0	507	0.196359411309
YPR049C	85.5	589	0.16657239819
YPL235W	3030.0	218	0.15406360424
YGL190C	8600.0	267	0.168987341772
YBR110W	1890.0	263	0.194959229059
YDR144C	538.0	294	0.164245810056
YKL137W	259.0	40	0.119402985075
YDR447C	30500.0	58	0.141463414634
YAL061W	3090.0	132	0.1053471668
YJL063C	3030.0	71	0.0991620111732
YMR149W	8450.0	143	0.166279069767
YIR010W	1310.0	189	0.109248554913
YDR331W	1560.0	205	0.165991902834
YKR044W	319.0	179	0.134485349361
YLR433C	7040.0	275	0.165562913907
YMR068W	1180.0	161	0.12578125
YJR070C	39900.0	109	0.111566018424
YGL005C	1360.0	145	0.172824791418
YIR024C	589.0	90	0.138461538462
YDL111C	7110.0	133	0.166875784191
YPL007C	2070.0	318	0.18006795017
YKL159C	521.0	95	0.149606299213
YDR507C	736.0	461	0.134480746791
YLR138W	1480.0	431	0.145755833615
YJL158C	12500.0	90	0.1317715959
YLR396C	830.0	345	0.166265060241
YBR245C	1500.0	513	0.151372086161
YPL103C	178.0	217	0.154338549075
YIL103W	2530.0	201	0.157400156617
YJR096W	6960.0	125	0.147405660377
YAL010C	768.0	278	0.187711006077
YGR143W	468.0	390	0.168466522678
YGR112W	623.0	146	0.124893071001
YHR174W	2610.0	141	0.107387661843
YLR192C	17900.0	92	0.115432873275
YDL213C	8970.0	61	0.0901033973412
YDR478W	172.0	81	0.135906040268
YFR015C	6300.0	311	0.146284101599
YMR230W	7650.0	46	0.145110410095
YIL092W	105.0	275	0.144660704892
YLR321C	3940.0	168	0.13125
YGR052W	339.0	172	0.155094679892
YJR161C	815.0	214	0.185925282363
YOR278W	1360.0	133	0.160822249093
YNL085W	3430.0	468	0.187800963082
YGL061C	996.0	103	0.138627187079
YPL210C	11800.0	320	0.166493236212
YOR087W	1310.0	366	0.180562407499
YGL234W	35800.0	324	0.134551495017
YOR347C	2130.0	198	0.130263157895
YAL029C	2210.0	697	0.157870894677
YDR421W	319.0	415	0.145511921459
YGR186W	1920.0	244	0.110557317626
YDR294C	13100.0	272	0.153759185981
YHR135C	1630.0	189	0.116955445545
